0.000000e+00 1.601636e-03 1.252523e+00
5.000000e+00 1.380165e-03 1.026199e-03
1.000000e+01 2.209013e-03 1.909681e-01
1.500000e+01 1.679543e-03 8.137555e-04
2.000000e+01 1.107539e-03 2.045763e-02
2.500000e+01 1.489182e-03 3.164327e-04
3.000000e+01 1.163508e-03 7.175137e-03
3.500000e+01 1.163716e-03 2.526378e-04
4.000000e+01 1.193336e-03 1.916467e-03
4.500000e+01 1.022011e-03 1.228604e-04
5.000000e+01 9.829630e-04 2.381530e-03
5.500000e+01 8.935038e-04 1.870485e-04
6.000000e+01 1.553135e-03 1.061766e-03
6.500000e+01 2.019196e-03 1.207341e-04
7.000000e+01 2.366108e-03 1.078371e-03
7.500000e+01 2.596593e-03 1.319845e-04
8.000000e+01 2.009901e-03 7.703499e-04
8.500000e+01 4.084832e-04 1.092500e-04
